ID_Number,Date,AM_PM,Route_Number,Q1_1,Q1_2,Q1_3,Q1_4,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3Specified,Q4_1,Q4_2,Q4_3,Q4_4,Q4Specified,Q5Start,Q5End,Q6,Duration.of.Trip,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_5Specified,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11Specified,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_10Specified,Q13,Q14,Q15,Q16,Q16Specified,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q20,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q22,Q23,Q24,Q25,Q25Specified,Q26,Q26Specified,Q27,Q27Specified,Q27English,Q28,Q29,Q30,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q32_1,Q32_2,Q32_3,Q33
11,4/18/2013,pm,23,Express Route,BUS Bus Service,Trolley,BUS3,Every weekday,NA,Walk,NA,NA,NA,NA,,Work,NA,NA,NA,,,,20,15-30 Minutes,NA,Walk,NA,NA,NA,NA,,0-5 minutes,Always,NA,Paper schedules,NA,NA,Call customer service,NA,NA,,Adult cash fare,NA,NA,NA,Monthly pass,NA,NA,NA,NA,NA,,No,Yes,Yes,Yes,,Not at all likely,3,Not at all satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,2,4,Completely satisfied,Completely satisfied,Completely satisfied,Not at all satisfied,Completely satisfied,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Not at all important,FUJ,Male,33,African American,,In the United States,,Yes,Spanish 8 grade,Very well,NA,NA,NA,Yes,Yes,Yes,No,Yes,Yes,No,No,"Yes, use regularly",Yes
12,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every weekday,NA,NA,NA,Get a ride in someone else's car,NA,NA,,Work,NA,NA,NA,,,,45,45-60 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Sometimes,NA,NA,NA,NA,Call customer service,NA,NA,,NA,NA,NA,NA,NA,NA,NA,10 ride tickets,NA,NA,,No,No,No,Yes,,4,2,3,3,3,3,4,3,4,Not at all satisfied,Not at all satisfied,3,3,3,2,2,3,3,3,3,3,3,OCC,Male,50,African American,,In the United States,,No,,,5,3,"$25,000 to less than $35,000",Yes,Yes,Yes,Yes,Yes,Yes,No,"Yes, but don't use regularly","Yes, but don't use regularly",Yes
13,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every weekday,NA,Walk,NA,NA,NA,NA,,NA,NA,NA,Other,YMCA,,,NA,,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Rarely,NA,NA,Ask the driver,NA,NA,NA,NA,,NA,NA,NA,NA,Monthly pass,NA,NA,NA,NA,NA,,NA,Yes,Yes,No,NA,2,NA,NA,Not at all satisfied,3,NA,Completely satisfied,NA,NA,3,Not at all satisfied,3,NA,3,2,NA,Not at all important,2,2,NA,3,4,WOG,Male,54,Caucasian,,NA,,Yes,NA,Very well,1,2,NA,Yes,Yes,Yes,No,Yes,No,No,"Yes, but don't use regularly",No,Yes
14,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,A few times a month,NA,Walk,NA,Get a ride in someone else's car,NA,NA,,NA,NA,NA,Other,Business,,,60,60-90 Minutes,No,Walk,NA,NA,NA,NA,,0-5 minutes,Always,NA,Paper schedules,Ask the driver,NA,Call customer service,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,Yes,No,Yes,,Extremely likely,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,2,2,Completely satisfied,Not at all satisfied,Not at all satisfied,3,3,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,OCC,Female,36,African American,,In the United States,,No,,,5,5,"Less than $25,000",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, use regularly",No,"Yes, use regularly",No
15,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,"Several times a week, but not every day",NA,Walk,NA,Get a ride in someone else's car,NA,NA,,Work,NA,NA,NA,,,,30,30-45 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Sometimes,NA,Paper schedules,NA,NA,Call customer service,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,Transfer,10 ride tickets,NA,NA,,No,No,No,Yes,,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,3,3,3,3,3,FUJ,Female,33,African American,,In the United States,,No,,,3,3,"Less than $25,000",Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
16,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every weekday,NA,NA,NA,Get a ride in someone else's car,NA,NA,,NA,School,NA,NA,,,,40,30-45 Minutes,Yes,Walk,NA,NA,NA,NA,,5-10 minutes,Rarely,Printable schedules online,Paper schedules,NA,NA,NA,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,Unsure,,Extremely likely,Completely satisfied,4,2,3,4,3,4,Not at all satisfied,4,NA,NA,NA,NA,NA,3,Extremely important,Extremely important,Extremely important,3,3,Extremely important,MKF,Female,20,Other,mixed,Outside the United States,Russia,Yes,Russian,Very well,2,1,NA,NA,NA,NA,NA,NA,NA,"Yes, use regularly",No,"Yes, use regularly",No
17,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every weekday,NA,NA,NA,NA,NA,NA,,Work,NA,NA,NA,,,,40,30-45 Minutes,Yes,NA,NA,NA,NA,Other,Park car at Location then ride,0-5 minutes,Always,NA,NA,Ask the driver,BUS or Google’s online Trip Planner,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,work,No,No,Yes,Yes,,Extremely likely,4,4,4,4,3,Completely satisfied,Completely satisfied,2,4,4,4,4,4,Completely satisfied,Completely satisfied,4,3,Extremely important,4,4,Extremely important,CFS,Male,54,Caucasian,,In the United States,,No,,,2,1,"More than $75,000",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but don't use regularly",No,No,No
18,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,"Several times a week, but not every day",NA,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,60,60-90 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Always,NA,Paper schedules,NA,BUS or Google’s online Trip Planner,Call customer service,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,Transfer,NA,NA,NA,,No,No,No,Unsure,,4,Not at all satisfied,2,2,3,Not at all satisfied,3,Completely satisfied,3,3,4,Not at all satisfied,NA,Not at all satisfied,Not at all satisfied,3,Extremely important,3,3,3,Extremely important,Extremely important,LNM,Female,24,African American,,In the United States,,No,,,6,1,"Less than $25,000",Yes,Yes,No,Yes,No,Yes,"Yes, use regularly",No,"Yes, use regularly",No
19,4/18/2013,pm,23,NA,BUS Bus Service,Trolley,NA,Every weekday,NA,Walk,NA,NA,Bicycle,NA,,Work,NA,NA,NA,,,,45,45-60 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Always,NA,Paper schedules,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,10 ride tickets,NA,NA,,No,No,No,Unsure,,3,3,3,3,2,Not at all satisfied,3,3,2,3,3,2,3,4,3,4,3,3,3,2,3,Not at all important,GBO,Male,42,Caucasian,,In the United States,,Yes,NA,Very well,1,1,"Less than $25,000",No,No,No,No,No,No,No,No,No,Yes
20,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,"Several times a week, but not every day",NA,Walk,NA,NA,NA,NA,,NA,NA,NA,Other,Shopping,,,25,15-30 Minutes,No,Walk,NA,NA,NA,NA,,10-15 minutes,Sometimes,Printable schedules online,Paper schedules,NA,NA,Call customer service,Ask another rider,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,Not employed,Yes,,Extremely likely,2,2,Completely satisfied,4,3,3,4,3,3,3,3,2,2,3,3,4,Extremely important,Extremely important,Extremely important,Extremely important,4,ECA,Female,40,Caucasian,,In the United States,,No,,,2,2,"Less than $25,000",Yes,Yes,No,Yes,No,Yes,"Yes, use regularly",No,"Yes, use regularly",Yes
21,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,"Several times a month, but not every week",Drive myself in my car,NA,NA,NA,NA,NA,,Work,NA,NA,NA,,,,37.5,30-45 Minutes,Yes,Walk,NA,NA,NA,NA,,5-10 minutes,Sometimes,NA,NA,NA,NA,Call customer service,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,Yes,Not employed,Unsure,,Extremely likely,Not at all satisfied,Not at all satisfied,3,2,Not at all satisfied,Not at all satisfied,Completely satisfied,3,Not at all satisfied,3,3,3,3,3,NA,NA,3,3,3,3,3,FUJ,Female,24,African American,,In the United States,,Yes,NA,NA,2,1,"Less than $25,000",No,No,No,Yes,No,Yes,"Yes, use regularly",No,No,Yes
22,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,NA,Drive myself in my car,NA,NA,NA,NA,NA,,Work,NA,Medical Appointment,NA,,,,45,45-60 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Never,Printable schedules online,Paper schedules,NA,NA,NA,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,10 ride tickets,NA,NA,,No,No,No,Yes,,Extremely likely,2,3,Completely satisfied,4,2,3,Completely satisfied,Completely satisfied,Completely satisfied,4,3,4,Completely satisfied,2,4,Extremely important,4,4,Extremely important,4,Not at all important,OCC,Female,31,African American,,In the United States,,No,,,4,1,"$25,000 to less than $35,000",Yes,Yes,No,No,Yes,Yes,"Yes, use regularly",No,No,No
23,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,"Several times a month, but not every week",NA,NA,Taxi,NA,NA,NA,,NA,NA,Medical Appointment,NA,,,,20,15-30 Minutes,Yes,Walk,NA,NA,NA,NA,,5-10 minutes,Always,NA,NA,Ask the driver,BUS or Google’s online Trip Planner,Call customer service,Ask another rider,NA,,NA,NA,NA,NA,Monthly pass,NA,NA,NA,NA,NA,,NA,No,No,Yes,,4,4,4,NA,3,2,4,3,3,NA,4,3,Completely satisfied,3,3,4,3,4,4,4,4,3,OCC,Female,25,Caucasian,,In the United States,,Yes,Akan,Very well,1,1,"$25,000 to less than $35,000",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, use regularly","Yes, use regularly","Yes, use regularly",No
24,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every weekday,NA,Walk,NA,NA,NA,NA,,Work,NA,NA,NA,,,,20,15-30 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Always,NA,Paper schedules,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Monthly pass,NA,NA,NA,NA,NA,,No,No,No,Yes,,2,4,3,4,4,4,3,4,3,4,4,4,Completely satisfied,Completely satisfied,4,Completely satisfied,4,Extremely important,4,Extremely important,4,Extremely important,OCC,Male,30,African American,,Outside the United States,Ghana,Yes,NA,Very well,2,2,"$25,000 to less than $35,000",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
25,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,"Several times a week, but not every day",NA,Walk,NA,NA,NA,NA,,NA,NA,NA,Other,Shopping and Library,,,40,30-45 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Always,NA,Paper schedules,NA,NA,Call customer service,NA,NA,,NA,NA,NA,NA,NA,NA,NA,10 ride tickets,NA,NA,,Yes,No,No,Yes,,3,4,4,4,3,3,Completely satisfied,4,4,Completely satisfied,Completely satisfied,4,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Extremely important,Extremely important,4,Extremely important,Extremely important,4,OCC,Female,47,Caucasian,,In the United States,,No,,,1,1,"Less than $25,000",Yes,Yes,No,Yes,Yes,Yes,"Yes, use regularly",No,"Yes, use regularly",Yes
26,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every weekday,NA,NA,NA,NA,NA,NA,,NA,School,NA,NA,,,,25,15-30 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Sometimes,NA,Paper schedules,NA,NA,Call customer service,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,Yes,Not employed,Yes,,Extremely likely,3,3,Completely satisfied,Completely satisfied,3,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,OCC,Female,16,African American,,In the United States,,No,,,5,5,"Less than $25,000",No,No,No,Yes,No,Yes,"Yes, use regularly",No,"Yes, use regularly",No
27,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,"Several times a month, but not every week",NA,NA,NA,Get a ride in someone else's car,NA,NA,,Work,NA,NA,NA,,,,40,30-45 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Rarely,NA,NA,NA,NA,Call customer service,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,Yes,No,No,NA,2,2,2,2,2,2,2,2,2,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,3,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,GBO,Female,25,African American,,In the United States,,Yes,NA,NA,4,1,"Less than $25,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,"Several times a week, but not every day",NA,Walk,NA,NA,NA,NA,,Work,NA,NA,NA,,,,20,15-30 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Sometimes,NA,NA,NA,NA,Call customer service,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,Transfer,NA,NA,NA,,Yes,No,No,No,NA,Not at all likely,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,GBO,Male,37,African American,,In the United States,,Yes,NA,NA,2,2,"Less than $25,000",No,Yes,No,Yes,Yes,Yes,No,No,No,Yes
29,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,"Several times a week, but not every day",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every weekday,NA,Walk,NA,NA,NA,NA,,NA,NA,Medical Appointment,NA,,,,60,60-90 Minutes,No,Walk,NA,NA,NA,NA,,10-15 minutes,Rarely,NA,Paper schedules,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,4/18/2013,pm,23,NA,BUS Bus Service,Trolley,NA,"Several times a week, but not every day",NA,Walk,NA,NA,Bicycle,NA,,Work,NA,NA,NA,,,,30,30-45 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Never,Printable schedules online,NA,NA,NA,Call customer service,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,Yes,No,Unsure,,3,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,JRY,Male,46,African American,,In the United States,,No,,,5,5,"$25,000 to less than $35,000",Yes,Yes,Yes,No,No,No,No,No,No,Yes
32,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every weekday,NA,Walk,NA,NA,NA,NA,,NA,NA,Medical Appointment,NA,,,,30,30-45 Minutes,Yes,Walk,NA,NA,NA,NA,,5-10 minutes,Always,Printable schedules online,Paper schedules,NA,BUS or Google’s online Trip Planner,Call customer service,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,Transfer,NA,NA,NA,,No,Yes,Not employed,Yes,,Extremely likely,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,IYV,Female,20,African American,,In the United States,,Yes,NA,NA,3,3,"Less than $25,000",No,Yes,No,Yes,Yes,Yes,"Yes, use regularly","Yes, use regularly","Yes, use regularly",Yes
33,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every weekday,NA,Walk,NA,NA,NA,NA,,NA,NA,Medical Appointment,NA,,,,60,60-90 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Rarely,NA,NA,NA,NA,Call customer service,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,No,No,Yes,,2,2,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,IYV,Male,26,African American,,In the United States,,No,,,3,NA,"Less than $25,000",No,No,No,No,Yes,Yes,"Yes, but don't use regularly",No,"Yes, but don't use regularly",Yes
